Sample File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,,,,,IBM,,,,,,,GOOGL,,,,,,,CSCO,,,,,,,ADM,,,,,,,NKE,,,,,
Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume
2000-12-08,1343.550049,1380.329956,1343.550049,1369.890015,1358300000,,2000-12-08,98,99,95.75,97,6140600,,,,,,,,,2000-12-08,98,99,95.75,73.72833,6140600,,2000-12-08,13,13.187499,12.624999,8.908479,1520900,,2000-12-08,41.5,43.0625,41.4375,4.447884,6024000
2000-12-07,1351.459961,1353.5,1339.26001,1343.550049,1128000000,,2000-12-07,95.0625,95.9375,93.125,93.125,7922000,,,,,,,,,2000-12-07,95.0625,95.9375,93.125,70.782998,7922000,,2000-12-07,13.249999,13.374999,12.8125,9.082303,1372100,,2000-12-07,43.3125,43.3125,40.25,4.349913,10409600
2000-12-06,1376.540039,1376.540039,1346.150024,1351.459961,1399300000,,2000-12-06,101.75,101.8125,94.8125,96.75,10096900,,,,,,,,,2000-12-06,101.75,101.8125,94.8125,73.538309,10096900,,2000-12-06,13.249999,13.437499,13.124999,9.212671,1646700,,2000-12-06,43.9375,45.625,43.1875,4.526261,10084000
2000-12-05,1324.969971,1376.560059,1324.969971,1376.540039,900300000,,2000-12-05,100.4375,104.75,99.625,103.375,7804200,,,,,,,,,2000-12-05,100.4375,104.75,99.625,78.573878,7804200,,2000-12-05,12.937499,13.3125,12.874999,9.212671,2741500,,2000-12-05,44.75,44.9375,43.6875,4.624232,6187200
2000-12-04,1315.180054,1332.060059,1310.22998,1324.969971,1103000000,,2000-12-04,96,99.1875,95.75,98.375,5566800,,,,,,,,,2000-12-04,96,99.1875,95.75,74.773449,5566800,,2000-12-04,12.874999,13,12.75,8.951935,1535400,,2000-12-04,43.5,45.5,43.5,4.702609,7388000
2000-12-01,1314.949951,1334.670044,1307.02002,1315.22998,1195200000,,2000-12-01,94.4375,99.3125,94.375,95.625,7525100,,,,,,,,,2000-12-01,94.4375,99.3125,94.375,72.683212,7525100,,2000-12-01,12.75,12.75,12.374999,8.865023,1311400,,2000-12-01,42.75,44.25,42.75,4.565449,6033600
2000-11-30,1341.910034,1341.910034,1294.900024,1314.949951,1186530000,,2000-11-30,98,98,92.25,93.5,10651400,,,,,,,,,2000-11-30,98,98,92.25,71.06803,10651400,,2000-11-30,11.937499,12.874999,11.874999,8.865023,5408500,,2000-11-30,42.8125,43.4375,42.5,4.454416,9480000
2000-11-29,1336.089966,1352.380005,1329.280029,1341.930054,402100000,,2000-11-29,97.75,99.9375,96.6875,99.8125,5524600,,,,,,,,,2000-11-29,97.75,99.9375,96.6875,75.866072,5524600,,2000-11-29,11.624999,11.937499,11.5,8.256639,1334500,,2000-11-29,43.5,43.5625,42.125,4.47401,4848800
2000-11-28,1348.969971,1358.810059,1334.969971,1336.089966,1028200000,,2000-11-28,98.75,100.75,97.375,97.875,4799100,,,,,,,,,2000-11-28,98.75,100.75,97.375,74.393406,4799100,,2000-11-28,11.5,11.75,11.312499,8.169727,2339500,,2000-11-28,42.5,44.0625,41.75,4.591575,7265600
2000-11-27,1341.77002,1362.5,1341.77002,1348.969971,946100000,,2000-11-27,100.4375,102,98.4375,98.4375,3866200,,,,,,,,,2000-11-27,100.4375,102,98.4375,74.820954,3866200,,2000-11-27,11.562499,11.6875,11.5,8.126271,1186900,,2000-11-27,41.75,43.5,41.5625,4.493604,9434400
2000-11-24,1322.359985,1343.829956,1322.359985,1341.77002,404870000,,2000-11-24,99.375,101.75,99.25,99.9375,2497500,,,,,,,,,2000-11-24,99.375,101.75,99.25,75.961083,2497500,,2000-11-24,11.25,11.374999,11.1875,7.908991,389000,,2000-11-24,40,40.6875,40,4.232348,1994400
2000-11-22,1347.349976,1347.349976,1321.890015,1322.359985,963200000,,2000-11-22,98.5,100.8125,98.3125,98.5,5537100,,,,,,,,,2000-11-22,98.5,100.8125,98.3125,74.868459,5537100,,2000-11-22,11.4375,11.5,11.062499,7.908991,1010400,,2000-11-22,39.8125,40.375,39.375,4.206222,6081600
2000-11-21,1342.619995,1355.869995,1333.619995,1347.349976,1137100000,,2000-11-21,103.25,104.375,98.5,98.5,7180700,,,,,,,,,2000-11-21,103.25,104.375,98.5,74.868459,7180700,,2000-11-21,11.562499,11.624999,11.1875,7.952447,1582700,,2000-11-21,40.375,40.9375,39.625,4.180097,4022400
2000-11-20,1367.719971,1367.719971,1341.670044,1342.619995,955800000,,2000-11-20,101.5,103.25,100.875,103.25,7426600,,,,,,,,,2000-11-20,101.5,103.25,100.875,78.478867,7426600,,2000-11-20,11.6875,11.812499,11.312499,8.039359,1672000,,2000-11-20,41.6875,42.625,39.375,4.180097,11308800
2000-11-17,1372.319946,1384.849976,1355.550049,1367.719971,1070400000,,2000-11-17,98.3125,102.5,98.25,101.9375,7717400,,,,,,,,,2000-11-17,98.3125,102.5,98.25,77.481254,7717400,,2000-11-17,11.6875,11.874999,11.624999,8.169727,1319500,,2000-11-17,40.875,41.8125,40.625,4.356445,3002400
2000-11-16,1389.810059,1394.76001,1370.390015,1372.319946,956300000,,2000-11-16,99.25,99.6875,98.25,98.25,3739700,,,,,,,,,2000-11-16,99.25,99.6875,98.25,74.678438,3739700,,2000-11-16,11.624999,11.75,11.5,8.082815,927400,,2000-11-16,42.125,42.875,41.3125,4.317256,3732800
2000-11-15,1382.949951,1395.959961,1374.75,1389.810059,1066800000,,2000-11-15,99.5,100.0625,97.625,99.375,4160300,,,,,,,,,2000-11-15,99.5,100.0625,97.625,75.533534,4160300,,2000-11-15,11.374999,11.6875,11.25,8.126271,1122800,,2000-11-15,42.1875,42.5,41.3125,4.402164,3964000
2000-11-14,1351.26001,1390.060059,1351.26001,1382.949951,1118800000,,2000-11-14,99.25,99.875,98.5,99.5,5150900,,,,,,,,,2000-11-14,99.25,99.875,98.5,75.628545,5150900,,2000-11-14,11.312499,11.562499,11.062499,7.952447,1393000,,2000-11-14,40.75,41.9375,40.3125,4.362976,6412800
2000-11-13,1365.97998,1365.97998,1328.619995,1351.26001,1129300000,,2000-11-13,91.8125,99.4375,91.625,97.4375,8684900,,,,,,,,,2000-11-13,91.8125,99.4375,91.625,74.060868,8684900,,2000-11-13,11.25,11.5,11.124999,7.995903,1649700,,2000-11-13,41.5625,41.8125,41.125,4.323788,6414400
2000-11-10,1400.140015,1400.140015,1365.969971,1365.97998,962500000,,2000-11-10,98,98.375,93,93,6807900,,,,,,,,,2000-11-10,98,98.375,93,70.687987,6807900,,2000-11-10,10.874999,11.374999,10.874999,7.822079,1374700,,2000-11-10,43.25,43.4375,41.125,4.343382,5866400
2000-11-09,1409.280029,1409.280029,1369.680054,1400.140015,1111000000,,2000-11-09,96.75,100,95.6875,99.4375,9047900,,,,,,,,,2000-11-09,96.75,100,95.6875,75.58104,9047900,,2000-11-09,10.874999,11,10.75,7.648255,1712000,,2000-11-09,44.75,44.75,43,4.558918,7860800
2000-11-08,1431.869995,1437.280029,1408.780029,1409.280029,909300000,,2000-11-08,103.625,103.75,99.25,100,6990800,,,,,,,,,2000-11-08,103.625,103.75,99.25,76.008588,6990800,,2000-11-08,10.9375,11,10.812499,7.648255,996000,,2000-11-08,43.5,44.9375,43,4.650358,6218400
